college,college_tier
RAJENDRA MANE COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
RAJIV GANDHI INSTITUTE OF TECHNOLOGY,TIER 3
"RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES, NUZVID",TIER 3
RAJKIYA ENGINEERING AZAMGARH,TIER 3
RAMAIAH INSTITUTE OF TECHNOLOGY,TIER 2
RAMRAO ADIK INSTITUTE OF TECHNOLOGY RAIT,TIER 3
RCC INSTITUTE OF INFORMATION TECHNOLOGY,TIER 3
REVA UNIVERSITY,TIER 3
REVE INSTITUTE OF TECHNOLOGY AND MANAGEMENT,TIER 3
RGPV BHOPAL,TIER 3
RGUKT,TIER 3
RMK ENGINEERING COLLEGE,TIER 3
RNSIT,TIER 3
RUSTAMJI INSTITUTE OF TECHNOLOGY,TIER 3
RV COLLEGE OF ENGINEERING,TIER 2
RVS COLLEGE OF ENGINEERING AND TECHNOLOGY,TIER 3
S.N.D. COLLEGE OF ENGG AND RC; YEOLA,TIER 3
SAGAR INSTITUTE OF SCIENCE TECHNOLOGY AND RESEARCH,TIER 3
"SAGAR INSTITUTE OF SCIENCE, TECHNOLOGY AND ENGINEERING",TIER 3
SAKTHI MARIAMMAN ENGINEERING COLLEGE,TIER 3
SAMRAT ASHOK TECHNOLOGICAL INSTITUTE,TIER 3
SANT GADGE BABA AMRAVATI UNIVERSITY MAHARASHTRA,TIER 3
SANT LONGOWAL INSTITUTE OF ENGINEERING AND TECHNOLOGY,TIER 3
SAPTAGIRI COLLEGE OF ENGINEERING,TIER 3
SARANATHAN COLLEGE OF ENGINEERING,TIER 3
SASTRA UNIVERSITY,TIER 2
SCHOOL OF ENGINEERING AND APPLIED SCIENCES,TIER 3
SCHOOL OF ENGINEERING AND APPLIED SCIENCES AHMEDABAD UNIVERSITY,TIER 3
SGSITS INDORE,TIER 2
"SHARAD INSTITUTE OF TECHNOLO COLLEGE OF ENGINEERING, YADRAV.",TIER 3
SHARDA UNIVERSITY,TIER 3
SHIV NADAR UNIVERSITY,TIER 2
"SHIVAJI COLLEGE, UNIVERSITY OF DELHI",TIER 3
SHIVAJI UNIVERSITY,TIER 3
SHRI GOVINDRAM SEKSARIA INSTITUTE OF TECHNOLOGY AND SCIENCE,TIER 3
SHRI MATA VAISHNO DEVI UNIVERSITY,TIER 3
"SHRI RAM MURTI SMARAK COLLEGE OF ENGINEERING AND TECHNOLOGY, BAREILLY",TIER 3
SHRI RAMDEOBABA COLLEGE OF ENGINEERING AND MANAGEMENT,TIER 3
SHRI VAISHNAV INSTITUTE OF SCIENCE TECHNOLOGY,TIER 3
SHRI VAISHNAV VIDYAPEETH VISHWAVIDYALAYA,TIER 3
SHRI VILE PARLE KELVANI MANDAL,TIER 3
SIES GRADUATE SCHOOL OF TECHNNOLOGY,TIER 3
SIKKIM MANIPAL INSTITUTE OF TECHNOLOGY,TIER 3
SIKKIM MANIPAL UNIVERSITY,TIER 3
SIKSHA O ANUSANDHAN UNIVERSITY,TIER 3
SILICON INSTITUTE OF TECHNOLOGY,TIER 3
SILIGURI INSTITUTE OF TECHNOLOGY,TIER 3
"SINHGAD COLLEGE OF ENGINEERING, PUNE",TIER 3
SINHGAD INSTITUTE OF MANAGEMENT,TIER 3
SJB INSTITUTE OF TECHNOLOGY,TIER 3
SJC INSTITUTE OF TECHNOLOGY,TIER 3
SKSVMACET,TIER 3
SKUNIVERSITY,TIER 3
SMT KASHIBAI NAVALE COLLEGE OF ENGINEERING,TIER 3
SMVIT,TIER 3
SONA COLLEGE OF TECHNOLOGY,TIER 3
SREE NIDHI INSTITUTE OF SCIENCE AND TECHNOLOGY,TIER 3
SREE VIDYANIKETHAN ENGINEERING COLLEGE,TIER 3
SRI GURU GOBIND SINGH COLLEGE OF COMMERCE,TIER 3
SRI INDU ENGINEERING OF COLLEGE,TIER 3
SRI JAYACHAMARAJENDRA COLLEGE OF ENGINEERING MYSORE,TIER 3
